concelho,n_casos
Lisboa,175
Aveiro,6
Porto,126
Penafiel,6
Maia,104
Viseu,6
Vila Nova de Gaia,68
Albergaria-a-Velha,5
Valongo,65
Albufeira,5
Gondomar,56
Barreiro,5
Ovar,55
Montijo,5
Matosinhos,54
Paços de Ferreira,5
Cascais,39
Vila Franca de Xira,5
Sintra,39
Bragança,4
Coimbra,34
Cartaxo,4
Santa Maria da Feira,33
Coruche,4
Almada,31
Évora,4
Lousada,29
Moita,4
Loures,24
Sesimbra,4
Amadora,21
Vila Real,4
Braga,21
Águeda,3
Seixal,21
Alcochete,3
Felgueiras,17
Arcos de Valdevez,3
Oeiras,16
Barcelos,3
Guimarães,15
Câmara de Lobos,3
Odivelas,14
Chaves,3
Vila Nova de Famalicão,12
Condeixa-a-Nova,3
Oliveira de Azeméis,11
Guarda,3
Funchal,10
Lagoa (Faro),3
Santarém,9
Marco de Canaveses,3
Espinho,8
Mirandela,3
Faro,8
Pombal,3
Portimão,8
Silves,3
Vila do Conde,8
Soure,3
Mafra,7
Vale de Cambra,3
Paredes,7
Santo Tirso,7
Setúbal,7
Viana do Castelo,7
